Scheme_name,Category,Category_Equity,Category_Debt,Category_Hybrid,Expense_ratio,Risk_factor,age_in_months,Rating,Net_assets,Return_1wk,Return_1m,Return_3m,Return_6m,Return_1yr,Return_3yr,Return_5yr,Return_10yr,Equity_fund_style_Growth,Equity_fund_style_Value,Equity_fund_style_Blend,Standard Deviation,Sharpe Ratio,Sortino Ratio,NAV_latest,NAV_previous,NAV_52wk_high,NAV_52wk_low,Minimum_Investment,Fund_Manager_Tenure,#_Funds_managed,dbsc_1,agglomerative_1,hierarchy_1,kmeans_1,kmeans_2
Aditya Birla Sun Life Bal Bhavishya Yojna - Direct Plan,EQ-FLX,1,0,0,0.76,5,49,2,637,0.44,-2.62,-6.46,-6.65,-0.72,17.08,0.0,0.0,1,0,0,19.33,0.37,0.47,13.75,13.71,15.26,12.52,1000,2.0,4,0,4,1,0,8
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,EQ-BANK,1,0,0,1.17,5,111,2,2385,2.4,-1.18,-6.04,-5.23,5.26,24.58,9.24,0.0,1,0,0,33.75,0.38,0.45,41.83,41.51,46.71,35.15,1000,7.6,3,0,4,1,0,8
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Direct Plan,EQ-INTL,1,0,0,1.29,5,122,2,16,-1.06,-2.83,-4.18,-4.29,-11.34,30.21,9.84,7.63,0,1,0,22.66,0.76,0.89,36.92,36.22,44.33,35.08,1000,0.3,4,-1,1,1,1,5
Aditya Birla Sun Life Digital India Fund - Direct Plan,EQ-IT,1,0,0,0.88,5,122,2,3338,-0.49,-5.14,-0.41,5.1,-14.57,39.69,21.09,20.34,1,0,0,24.56,1.08,1.37,126.85,126.54,151.66,115.18,1000,9.2,2,0,2,1,1,0
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan,EQ-DIV Y,1,0,0,1.73,5,122,2,850,-0.08,-1.84,-1.38,3.2,5.65,30.42,10.11,12.82,0,0,1,21.16,0.82,0.98,284.74,284.57,302.25,231.67,1000,1.0,3,0,6,1,1,6
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan,EQ-L&MC,1,0,0,1.14,5,122,1,4836,0.77,-2.56,-5.52,-7.72,-10.14,22.42,8.1,15.61,1,0,0,24.93,0.44,0.45,620.14,618.06,716.87,567.39,1000,0.1,4,0,2,1,1,0
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan,EQ-FLX,1,0,0,0.86,5,122,3,15450,0.96,-2.05,-5.12,-3.66,-2.55,25.07,10.57,16.83,1,0,0,23.6,0.56,0.6,1186.24,1182.51,1302.62,1052.96,100,10.2,3,0,2,1,1,0
Aditya Birla Sun Life Focused Equity Fund - Direct Plan,EQ-LC,1,0,0,1.06,5,122,3,5634,1.37,-2.27,-5.52,-3.77,-0.91,24.11,10.88,14.85,1,0,0,21.81,0.59,0.68,96.6,96.17,106.26,87.02,1000,10.2,4,0,2,1,1,0
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan,EQ-LC,1,0,0,1.03,5,122,3,21132,1.45,-1.76,-4.64,-2.71,1.22,26.44,10.78,14.5,1,0,0,22.06,0.64,0.73,365.17,363.77,396.39,321.37,100,10.2,4,0,2,1,1,0
Aditya Birla Sun Life Global Emerging Opportunities Fund - Direct Plan,EQ-INTL,1,0,0,0.7,5,122,2,262,1.26,-1.01,1.61,4.45,-8.45,19.5,9.0,4.69,0,0,1,17.0,0.59,0.87,19.5,19.5,21.83,17.71,100,0.3,4,0,8,1,0,6
